State,FundOnly,PollsOnly,AdjPollsOnly,Final
US,-3.3,,1.8,-2.7
AL,22.7,,28.8,24.5
AK,9.6,,17,12.3
AZ,0.1,,6,1.3
AR,25.3,,30.9,25.6
CA,-25,,-21.5,-25.6
CO,-11.7,,-5.7,-10.4
CT,-17,,-12.2,-16.6
DE,-16.9,,-10.8,-15.4
DC,-76.3,,-79.5,-80.2
FL,4.1,,8.8,4.3
GA,0.3,,6,1.2
HI,-25.2,,-18.8,-23.3
ID,27.6,,33.9,29.6
IL,-14.4,,-9.1,-13.6
IN,13.6,,21.1,16.3
IA,7.7,,14,9.2
KS,13.3,,19.1,14.6
KY,23.1,,29.3,25
LA,16.7,,20.4,16.4
ME,-7.6,,-1.6,-6.1
MD,-28.9,,-23.4,-27.9
MA,-28.7,,-25.9,-29.8
MI,-2.1,,2.1,-2.3
MN,-5.9,,-0.5,-5.2
MS,15,,20.6,16.1
MO,13.8,,18.2,14.1
MT,14.8,,18.3,14.4
NE,17.2,,23.5,19.1
NV,-1.9,,5.5,0.5
NH,-6,,-1,-5.4
NJ,-13.6,,-5.3,-10.3
NM,-9,,-4.2,-8.8
NY,-19.5,,-11.2,-16.5
NC,1.7,,6.4,2
ND,30.1,,35.9,31.5
OH,8.8,,10.1,6.4
OK,29.8,,35.6,31.6
OR,-14,,-9.4,-13.8
PA,-1.1,,3.5,-1
RI,-18,,-12.4,-16.9
SC,10.4,,16.3,11.9
SD,23.8,,26.7,23
TN,20.9,,26.6,22.2
TX,5,,9.3,5.1
UT,18.7,,25.9,21.4
VT,-31,,-27.2,-31.2
VA,-8.5,,-1.8,-6.8
WA,-16.8,,-9.6,-14.5
WV,34.6,,37,33.4
WI,-0.1,,2.6,-1.4
WY,39,,44.2,40.2